会社名,slug,業界,factsheet,10コマ,企業紹介,決算書,AI OB
清水建設,shimizu,不動産・建設,✓,,,,✓
大成建設,taisei,不動産・建設,✓,,,,✓
竹中工務店,takenaka,不動産・建設,✓,,,,✓
長谷工コーポレーション,haseko,不動産・建設,✓,,,,✓
戸田建設,toda,不動産・建設,✓,,,,✓
インフロニア・ホールディングス（前田建設）,infroneer-hd,不動産・建設,✓,,,,✓
五洋建設,penta-ocean,不動産・建設,✓,,,,✓
熊谷組,kumagai-gumi,不動産・建設,✓,,,,✓
西松建設,nishimatsu,不動産・建設,✓,,,,✓
安藤ハザマ,ando-hazama,不動産・建設,✓,,,,✓
きんでん,kinden,不動産・建設,✓,,,,✓
関電工,kandenko,不動産・建設,✓,,,,✓
高砂熱学工業,takasago-thermal,不動産・建設,✓,,,,✓
大気社,taiki-sha,不動産・建設,✓,,,,✓
セブン＆アイ・ホールディングス,seven-and-i,小売・流通,✓,✓,,,✓
イオン,aeon,小売・流通,✓,,,,✓
ファーストリテイリング,fast-retailing,小売・流通,✓,✓,,,✓
ニトリホールディングス,nitori-hd,小売・流通,✓,✓,,,✓
パン・パシフィック・インターナショナルホールディングス（ドン・キホーテ）,ppih,小売・流通,✓,✓,,,✓
良品計画,ryohin-keikaku,小売・流通,✓,✓,,,✓
ローソン,lawson,小売・流通,✓,✓,,,✓
ファミリーマート,familymart,小売・流通,✓,✓,,,✓
三越伊勢丹ホールディングス,isetan-mitsukoshi,小売・流通,✓,✓,,,✓
J.フロント リテイリング,j-front,小売・流通,✓,✓,,,✓
髙島屋,takashimaya,小売・流通,✓,✓,,,✓
エイチ・ツー・オー リテイリング,h2o-retailing,小売・流通,✓,✓,,,✓
ライフコーポレーション,life-corp,小売・流通,✓,✓,,,✓
ヤオコー,yaoko,小売・流通,✓,✓,,,✓
しまむら,shimamura,小売・流通,✓,✓,,,✓
アダストリア,adastria,小売・流通,✓,✓,,,✓
ワークマン,workman,小売・流通,✓,,,,✓
ヤマダホールディングス,yamada-hd,小売・流通,✓,✓,,,✓
ビックカメラ,biccamera,小売・流通,✓,,,,✓
ヨドバシカメラ,yodobashi,小売・流通,✓,,,,✓
ウエルシアホールディングス,welcia-hd,小売・流通,✓,,,,✓
ツルハホールディングス,tsuruha-hd,小売・流通,✓,,,,✓
